!,"ID for suite of sites or experiments","Name of experiment, field test or survey",Field Overlay (DOME) ID,Seaonal Strategy (DOME) ID,Rotational Analysis (DOME) ID,BATCH (DOME) ID,,,Treatment Name,4-character Climate ID code,Climate replication number for multiple realizations of weather data (ask Alex),Region ID,Regional stratum identification number,RAP ID,"Management regimen ID, for multiple management regimens per RAP",Names of institutions involved in collection of field or survey data,"Crop rotation indicator (=1 to indicate that this is a continuous, multi-year simulation, =0 for single year simulations)",Weather station ID,Soil ID,Site Latitude,Site Longitude,Crop type (common name) ,Crop model-specific cultivar ID,Cultivar name,Start of simulation date,Planting date,"Observed harvested yield, dry weight",Observed total above-ground biomass at harvest,Observed harvest date,Total number of irrigation events,Total amount of irrigation,Type of irrigation application,Total number of fertilizer applications,Total N applied,Total P applied,Total K applied,Manure and applied oganic matter,Total number of tillage applications,"Tillage type (hand, animal or mechanized)",Experiment ID,Weather ID,Soil ID,DOME ID for Overlay,DOME ID for Seasonal  ,DOME ID for Rotational ,DOME ID for Batch DOME,"Short name of crop model used for simulations (e.g., DSSAT, APSIM, Aquacrop, STICS, etc.)",Model name and version number of the crop model used to generate simulated outputs,"Simulated harvest yield, dry matter","Simulated above-ground biomass at harvest, dry matter",Simulated anthesis date,Simulated maturity date,Simulated harvest date,"Simulated leaf area index, maximum",Total precipitation from planting to harvest,"Simulated evapotranspiration, planting to harvest",Simulated N uptake during season,Simulated N leached up to harvest maturity,"Transpiration, cumulative from planting to harvest","Evaporation,soil, cumulative from planting to harvest"
!,text,text,text,text,text,text,number,number,text,code,number,code,number,code,code,text,number,text,text,decimal degrees,decimal degrees,text,text,text,yyyy-mm-dd,yyyy-mm-dd,kg/ha,kg/ha,yyyy-mm-dd,number,mm,text,number,kg[N]/ha,kg[P]/ha,kg[K]/ha,kg/ha,#,text,text,text,text,text,text,text,text,text,text,kg/ha,kg/ha,yyyy-mm-dd,yyyy-mm-dd,yyyy-mm-dd,m2/m2,mm,mm,kg/ha,kg/ha,mm,mm
#,SUITE_ID,EXNAME,FIELD_OVERLAY,SEASONAL_STRATEGY,ROTATIONAL_ANALYSIS,BATCH_DOME,BATCH_RUN#,RUN#,TRT_NAME,CLIM_ID,CLIM_REP,REG_ID,STRATUM,RAP_ID,MAN_ID,INSTITUTION,ROTATION,WST_ID,SOIL_ID,FL_LAT,FL_LONG,CRID_text,CUL_ID,CUL_NAME,SDAT,PDATE,HWAH,CWAH,HDATE,IR#C,IR_TOT,IROP_text,FE_#,FEN_TOT,FEP_TOT,FEK_TOT,OM_TOT,TI_#,TIIMP_text,EID,WID,SID,DOID,DSID,DRID,BDID,CROP_MODEL,MODEL_VER,HWAH_S,CWAH_S,ADAT_S,MDAT_S,HADAT_S,LAIX_S,PRCP_S,ETCP_S,NUCM_S,NLCM_S,EPCP_S,ESCP_S
*,,"NIORO020_1_b1__1","NIORO------SOIL2","NIORO-2-----0XFX","","GENERIC------CTWN","1",1,"","0XFX",1,"NIORO","2",,,AgMIP,0,MEDI,ITSN840042,13.5861,-15.5782,"Maize",IF0021,"TZEEY-SRBC5",1980-06-11,1980-07-11,,,,,,"",2,30,0,0,556,,"","5b408e7d55c648ac5aad8256cc2b1cf15e85125fc277bf13c06f02cbe3ea3660","b148fb2c1cf46d7809c548061ff68ef5b274786c48f82ace2232f1f8e6cd1f10","4eb704ecd535b72d143060b88494a84726db6c0b071480f6fa52e081724d3966","75424c98e92755d497c09c0da265ec7beea006645e045965f1e546adb8cb3e9f","2cbf031514dbd87307c18899901d32d6d34386425cff38399d3cc7ed3a2090e2","","d7d1536b3cf003e0135624ff96e775430791099f53b718993e66e942ac0821b0",DSSAT,"DSSAT MZCER045 Ver. 4.5.1.023 -Stub","1067","3599","1980-09-02","1980-10-06","1980-10-06","1.1","361.7","295.8","44","1","",""
*,,"NIORO020_1_b1__2","NIORO------SOIL2","NIORO-2-----0XFX","","GENERIC------CTWN","1",2,"","0XFX",1,"NIORO","2",,,AgMIP,0,MEDI,ITSN840042,13.5861,-15.5782,"Maize",IF0021,"TZEEY-SRBC5",1981-06-11,1981-07-11,,,,,,"",2,30,0,0,556,,"","5b408e7d55c648ac5aad8256cc2b1cf15e85125fc277bf13c06f02cbe3ea3660","b148fb2c1cf46d7809c548061ff68ef5b274786c48f82ace2232f1f8e6cd1f10","4eb704ecd535b72d143060b88494a84726db6c0b071480f6fa52e081724d3966","75424c98e92755d497c09c0da265ec7beea006645e045965f1e546adb8cb3e9f","2cbf031514dbd87307c18899901d32d6d34386425cff38399d3cc7ed3a2090e2","","d7d1536b3cf003e0135624ff96e775430791099f53b718993e66e942ac0821b0",DSSAT,"DSSAT MZCER045 Ver. 4.5.1.023 -Stub","1443","4243","1981-09-03","1981-10-08","1981-10-08","1.2","472.4","367.9","50","8","",""
*,,"NIORO020_1_b1__3","NIORO------SOIL2","NIORO-2-----0XFX","","GENERIC------CTWN","1",3,"","0XFX",1,"NIORO","2",,,AgMIP,0,MEDI,ITSN840042,13.5861,-15.5782,"Maize",IF0021,"TZEEY-SRBC5",1982-06-11,1982-07-11,,,,,,"",2,30,0,0,556,,"","5b408e7d55c648ac5aad8256cc2b1cf15e85125fc277bf13c06f02cbe3ea3660","b148fb2c1cf46d7809c548061ff68ef5b274786c48f82ace2232f1f8e6cd1f10","4eb704ecd535b72d143060b88494a84726db6c0b071480f6fa52e081724d3966","75424c98e92755d497c09c0da265ec7beea006645e045965f1e546adb8cb3e9f","2cbf031514dbd87307c18899901d32d6d34386425cff38399d3cc7ed3a2090e2","","d7d1536b3cf003e0135624ff96e775430791099f53b718993e66e942ac0821b0",DSSAT,"DSSAT MZCER045 Ver. 4.5.1.023 -Stub","1295","3801","1982-09-03","1982-10-08","1982-10-08","1.1","390.2","338.3","46","0","",""
*,,"NIORO020_1_b1__4","NIORO------SOIL2","NIORO-2-----0XFX","","GENERIC------CTWN","1",4,"","0XFX",1,"NIORO","2",,,AgMIP,0,MEDI,ITSN840042,13.5861,-15.5782,"Maize",IF0021,"TZEEY-SRBC5",1983-06-11,1983-07-11,,,,,,"",2,30,0,0,556,,"","5b408e7d55c648ac5aad8256cc2b1cf15e85125fc277bf13c06f02cbe3ea3660","b148fb2c1cf46d7809c548061ff68ef5b274786c48f82ace2232f1f8e6cd1f10","4eb704ecd535b72d143060b88494a84726db6c0b071480f6fa52e081724d3966","75424c98e92755d497c09c0da265ec7beea006645e045965f1e546adb8cb3e9f","2cbf031514dbd87307c18899901d32d6d34386425cff38399d3cc7ed3a2090e2","","d7d1536b3cf003e0135624ff96e775430791099f53b718993e66e942ac0821b0",DSSAT,"DSSAT MZCER045 Ver. 4.5.1.023 -Stub","381","1769","1983-09-02","1983-10-06","1983-10-06","0.8","203.6","208.0","32","0","",""
*,,"NIORO020_1_b1__5","NIORO------SOIL2","NIORO-2-----0XFX","","GENERIC------CTWN","1",5,"","0XFX",1,"NIORO","2",,,AgMIP,0,MEDI,ITSN840042,13.5861,-15.5782,"Maize",IF0021,"TZEEY-SRBC5",1984-06-11,1984-07-11,,,,,,"",2,30,0,0,556,,"","5b408e7d55c648ac5aad8256cc2b1cf15e85125fc277bf13c06f02cbe3ea3660","b148fb2c1cf46d7809c548061ff68ef5b274786c48f82ace2232f1f8e6cd1f10","4eb704ecd535b72d143060b88494a84726db6c0b071480f6fa52e081724d3966","75424c98e92755d497c09c0da265ec7beea006645e045965f1e546adb8cb3e9f","2cbf031514dbd87307c18899901d32d6d34386425cff38399d3cc7ed3a2090e2","","d7d1536b3cf003e0135624ff96e775430791099f53b718993e66e942ac0821b0",DSSAT,"DSSAT MZCER045 Ver. 4.5.1.023 -Stub","296","1442","1984-09-02","1984-10-07","1984-10-07","0.7","234.4","212.7","29","0","",""
*,,"NIORO020_1_b1__6","NIORO------SOIL2","NIORO-2-----0XFX","","GENERIC------CTWN","1",6,"","0XFX",1,"NIORO","2",,,AgMIP,0,MEDI,ITSN840042,13.5861,-15.5782,"Maize",IF0021,"TZEEY-SRBC5",1985-06-11,1985-07-11,,,,,,"",2,30,0,0,556,,"","5b408e7d55c648ac5aad8256cc2b1cf15e85125fc277bf13c06f02cbe3ea3660","b148fb2c1cf46d7809c548061ff68ef5b274786c48f82ace2232f1f8e6cd1f10","4eb704ecd535b72d143060b88494a84726db6c0b071480f6fa52e081724d3966","75424c98e92755d497c09c0da265ec7beea006645e045965f1e546adb8cb3e9f","2cbf031514dbd87307c18899901d32d6d34386425cff38399d3cc7ed3a2090e2","","d7d1536b3cf003e0135624ff96e775430791099f53b718993e66e942ac0821b0",DSSAT,"DSSAT MZCER045 Ver. 4.5.1.023 -Stub","1238","3843","1985-09-04","1985-10-09","1985-10-09","1.1","315.2","308.6","46","0","",""
*,,"NIORO020_1_b1__7","NIORO------SOIL2","NIORO-2-----0XFX","","GENERIC------CTWN","1",7,"","0XFX",1,"NIORO","2",,,AgMIP,0,MEDI,ITSN840042,13.5861,-15.5782,"Maize",IF0021,"TZEEY-SRBC5",1986-06-11,1986-07-11,,,,,,"",2,30,0,0,556,,"","5b408e7d55c648ac5aad8256cc2b1cf15e85125fc277bf13c06f02cbe3ea3660","b148fb2c1cf46d7809c548061ff68ef5b274786c48f82ace2232f1f8e6cd1f10","4eb704ecd535b72d143060b88494a84726db6c0b071480f6fa52e081724d3966","75424c98e92755d497c09c0da265ec7beea006645e045965f1e546adb8cb3e9f","2cbf031514dbd87307c18899901d32d6d34386425cff38399d3cc7ed3a2090e2","","d7d1536b3cf003e0135624ff96e775430791099f53b718993e66e942ac0821b0",DSSAT,"DSSAT MZCER045 Ver. 4.5.1.023 -Stub","1381","4164","1986-09-04","1986-10-09","1986-10-09","1.2","549.1","328.0","49","7","",""
*,,"NIORO020_1_b1__8","NIORO------SOIL2","NIORO-2-----0XFX","","GENERIC------CTWN","1",8,"","0XFX",1,"NIORO","2",,,AgMIP,0,MEDI,ITSN840042,13.5861,-15.5782,"Maize",IF0021,"TZEEY-SRBC5",1987-06-11,1987-07-11,,,,,,"",2,30,0,0,556,,"","5b408e7d55c648ac5aad8256cc2b1cf15e85125fc277bf13c06f02cbe3ea3660","b148fb2c1cf46d7809c548061ff68ef5b274786c48f82ace2232f1f8e6cd1f10","4eb704ecd535b72d143060b88494a84726db6c0b071480f6fa52e081724d3966","75424c98e92755d497c09c0da265ec7beea006645e045965f1e546adb8cb3e9f","2cbf031514dbd87307c18899901d32d6d34386425cff38399d3cc7ed3a2090e2","","d7d1536b3cf003e0135624ff96e775430791099f53b718993e66e942ac0821b0",DSSAT,"DSSAT MZCER045 Ver. 4.5.1.023 -Stub","1519","4095","1987-09-03","1987-10-08","1987-10-08","1.1","473.7","311.6","49","11","",""
*,,"NIORO020_1_b1__9","NIORO------SOIL2","NIORO-2-----0XFX","","GENERIC------CTWN","1",9,"","0XFX",1,"NIORO","2",,,AgMIP,0,MEDI,ITSN840042,13.5861,-15.5782,"Maize",IF0021,"TZEEY-SRBC5",1988-06-11,1988-07-11,,,,,,"",2,30,0,0,556,,"","5b408e7d55c648ac5aad8256cc2b1cf15e85125fc277bf13c06f02cbe3ea3660","b148fb2c1cf46d7809c548061ff68ef5b274786c48f82ace2232f1f8e6cd1f10","4eb704ecd535b72d143060b88494a84726db6c0b071480f6fa52e081724d3966","75424c98e92755d497c09c0da265ec7beea006645e045965f1e546adb8cb3e9f","2cbf031514dbd87307c18899901d32d6d34386425cff38399d3cc7ed3a2090e2","","d7d1536b3cf003e0135624ff96e775430791099f53b718993e66e942ac0821b0",DSSAT,"DSSAT MZCER045 Ver. 4.5.1.023 -Stub","1548","4184","1988-09-03","1988-10-09","1988-10-09","1.1","660.7","366.7","49","17","",""
*,,"NIORO020_1_b1__10","NIORO------SOIL2","NIORO-2-----0XFX","","GENERIC------CTWN","1",10,"","0XFX",1,"NIORO","2",,,AgMIP,0,MEDI,ITSN840042,13.5861,-15.5782,"Maize",IF0021,"TZEEY-SRBC5",1989-06-11,1989-07-11,,,,,,"",2,30,0,0,556,,"","5b408e7d55c648ac5aad8256cc2b1cf15e85125fc277bf13c06f02cbe3ea3660","b148fb2c1cf46d7809c548061ff68ef5b274786c48f82ace2232f1f8e6cd1f10","4eb704ecd535b72d143060b88494a84726db6c0b071480f6fa52e081724d3966","75424c98e92755d497c09c0da265ec7beea006645e045965f1e546adb8cb3e9f","2cbf031514dbd87307c18899901d32d6d34386425cff38399d3cc7ed3a2090e2","","d7d1536b3cf003e0135624ff96e775430791099f53b718993e66e942ac0821b0",DSSAT,"DSSAT MZCER045 Ver. 4.5.1.023 -Stub","1377","3943","1989-09-05","1989-10-11","1989-10-11","1.2","434.9","334.4","48","6","",""
